,1.UserInput,2.WitInput,3.DBOutput,4.ChatBotOutput,5.Error
0,the 1User input,the 1wit output,the 1DB output,the 1CB output,Pass
1,the 2User input,the 2wit output,the 2DB output,the 2CB output,False
2,the 3User input,the 3wit output,the 3DB output,the 3CB output,Pass
3,the 4User input,the 4wit output,the 4DB output,the 4CB output,False
4,the 5User input,the 5wit output,the 5DB output,the 5CB output,Pass
5,the 6User input,the 6wit output,the 6DB output,the 6CB output,False
6,the 7User input,the 7wit output,the 7DB output,the 7CB output,Pass
7,the 8User input,the 8wit output,the 8DB output,the 8CB output,False
8,the 9User input,the 9wit output,the 9DB output,the 9CB output,Pass
9,the 10User input,the 10wit output,the 10DB output,the 10CB output,False
10,the 11User input,the 11wit output,the 11DB output,the 11CB output,Pass
11,the 12User input,the 12wit output,the 12DB output,the 12CB output,False
12,the 13User input,the 13wit output,the 13DB output,the 13CB output,Pass
13,the 14User input,the 14wit output,the 14DB output,the 14CB output,False
14,the 15User input,the 15wit output,the 15DB output,the 15CB output,Pass
15,the 16User input,the 16wit output,the 16DB output,the 16CB output,False
16,the 17User input,the 17wit output,the 17DB output,the 17CB output,Pass
17,the 18User input,the 18wit output,the 18DB output,the 18CB output,False
18,the 19User input,the 19wit output,the 19DB output,the 19CB output,Pass
19,the 20User input,the 20wit output,the 20DB output,the 20CB output,False
20,the 21User input,the 21wit output,the 21DB output,the 21CB output,Pass
21,the 22User input,the 22wit output,the 22DB output,the 22CB output,False
22,the 23User input,the 23wit output,the 23DB output,the 23CB output,Pass
23,the 24User input,the 24wit output,the 24DB output,the 24CB output,False
24,the 25User input,the 25wit output,the 25DB output,the 25CB output,Pass
25,the 26User input,the 26wit output,the 26DB output,the 26CB output,False
26,the 27User input,the 27wit output,the 27DB output,the 27CB output,Pass
27,the 28User input,the 28wit output,the 28DB output,the 28CB output,False
28,the 29User input,the 29wit output,the 29DB output,the 29CB output,Pass
29,the 30User input,the 30wit output,the 30DB output,the 30CB output,False
30,the 31User input,the 31wit output,the 31DB output,the 31CB output,Pass
31,the 32User input,the 32wit output,the 32DB output,the 32CB output,False
32,the 33User input,the 33wit output,the 33DB output,the 33CB output,Pass
33,the 34User input,the 34wit output,the 34DB output,the 34CB output,False
34,the 35User input,the 35wit output,the 35DB output,the 35CB output,Pass
35,the 36User input,the 36wit output,the 36DB output,the 36CB output,False
36,the 37User input,the 37wit output,the 37DB output,the 37CB output,Pass
37,the 38User input,the 38wit output,the 38DB output,the 38CB output,False
38,the 39User input,the 39wit output,the 39DB output,the 39CB output,Pass
39,the 40User input,the 40wit output,the 40DB output,the 40CB output,False
40,the 41User input,the 41wit output,the 41DB output,the 41CB output,Pass
41,the 42User input,the 42wit output,the 42DB output,the 42CB output,False
42,the 43User input,the 43wit output,the 43DB output,the 43CB output,Pass
43,the 44User input,the 44wit output,the 44DB output,the 44CB output,False
44,the 45User input,the 45wit output,the 45DB output,the 45CB output,Pass
45,the 46User input,the 46wit output,the 46DB output,the 46CB output,False
46,the 47User input,the 47wit output,the 47DB output,the 47CB output,Pass
47,the 48User input,the 48wit output,the 48DB output,the 48CB output,False
48,the 49User input,the 49wit output,the 49DB output,the 49CB output,Pass
49,the 50User input,the 50wit output,the 50DB output,the 50CB output,False
50,the 51User input,the 51wit output,the 51DB output,the 51CB output,Pass
51,the 52User input,the 52wit output,the 52DB output,the 52CB output,False
52,the 53User input,the 53wit output,the 53DB output,the 53CB output,Pass
53,the 54User input,the 54wit output,the 54DB output,the 54CB output,False
54,the 55User input,the 55wit output,the 55DB output,the 55CB output,Pass
55,the 56User input,the 56wit output,the 56DB output,the 56CB output,False
56,the 57User input,the 57wit output,the 57DB output,the 57CB output,Pass
57,the 58User input,the 58wit output,the 58DB output,the 58CB output,False
58,the 59User input,the 59wit output,the 59DB output,the 59CB output,Pass
59,the 60User input,the 60wit output,the 60DB output,the 60CB output,False
60,the 61User input,the 61wit output,the 61DB output,the 61CB output,Pass
61,the 62User input,the 62wit output,the 62DB output,the 62CB output,False
62,the 63User input,the 63wit output,the 63DB output,the 63CB output,Pass
63,the 64User input,the 64wit output,the 64DB output,the 64CB output,False
64,the 65User input,the 65wit output,the 65DB output,the 65CB output,Pass
65,the 66User input,the 66wit output,the 66DB output,the 66CB output,False
66,the 67User input,the 67wit output,the 67DB output,the 67CB output,Pass
67,the 68User input,the 68wit output,the 68DB output,the 68CB output,False
68,the 69User input,the 69wit output,the 69DB output,the 69CB output,Pass
69,the 70User input,the 70wit output,the 70DB output,the 70CB output,False
70,the 71User input,the 71wit output,the 71DB output,the 71CB output,Pass
71,the 72User input,the 72wit output,the 72DB output,the 72CB output,False
72,the 73User input,the 73wit output,the 73DB output,the 73CB output,Pass
73,the 74User input,the 74wit output,the 74DB output,the 74CB output,False
74,the 75User input,the 75wit output,the 75DB output,the 75CB output,Pass
75,the 76User input,the 76wit output,the 76DB output,the 76CB output,False
76,the 77User input,the 77wit output,the 77DB output,the 77CB output,Pass
77,the 78User input,the 78wit output,the 78DB output,the 78CB output,False
78,the 79User input,the 79wit output,the 79DB output,the 79CB output,Pass
79,the 80User input,the 80wit output,the 80DB output,the 80CB output,False
80,the 81User input,the 81wit output,the 81DB output,the 81CB output,Pass
